Ticker,date,open,high,low,close,volume
BEL,2023-10-03,137.900000,140.600000,137.200000,139.200000,19010910
BEL,2023-10-04,138.000000,139.150000,136.550000,138.850000,14912053
BEL,2023-10-05,139.500000,141.350000,138.100000,138.950000,15996620
BEL,2023-10-06,139.000000,140.500000,138.650000,139.000000,4987359
BEL,2023-10-09,136.200000,137.600000,135.050000,135.750000,10489249
BEL,2023-10-10,137.400000,141.000000,136.500000,139.950000,15593722
BEL,2023-10-11,139.950000,140.500000,137.500000,137.750000,10778916
BEL,2023-10-12,137.950000,138.700000,137.200000,138.200000,7567439
BEL,2023-10-13,136.300000,138.200000,136.300000,137.450000,8303230
BEL,2023-10-16,137.000000,137.900000,136.550000,137.400000,7785480
BEL,2023-10-17,137.500000,138.900000,137.500000,138.550000,6076896
BEL,2023-10-18,138.750000,138.950000,136.400000,137.050000,6806231
BEL,2023-10-19,136.000000,137.200000,135.050000,137.000000,7775836
BEL,2023-10-20,136.700000,136.900000,133.500000,134.200000,8982112
BEL,2023-10-23,134.300000,135.900000,131.400000,132.700000,19333777
BEL,2023-10-25,132.500000,134.650000,129.250000,131.200000,10225867
BEL,2023-10-26,130.000000,130.200000,127.000000,128.850000,18167694
BEL,2023-10-27,129.250000,132.850000,129.250000,132.200000,8761931
BEL,2023-10-30,133.500000,133.950000,130.800000,131.950000,9052085
BEL,2023-10-31,132.500000,133.650000,130.750000,133.250000,8098744
BEL,2023-11-01,133.750000,134.550000,132.050000,132.400000,10431945
BEL,2023-11-02,133.700000,135.000000,133.300000,134.750000,4885035
BEL,2023-11-03,135.150000,137.000000,134.750000,135.950000,9154983
BEL,2023-11-06,136.950000,138.000000,136.000000,137.650000,7070089
BEL,2023-11-07,137.550000,138.950000,136.700000,138.050000,8587321
BEL,2023-11-08,137.750000,141.150000,137.700000,140.400000,9755483
BEL,2023-11-09,139.950000,139.950000,137.600000,137.950000,5481774
BEL,2023-11-10,137.500000,139.100000,137.050000,138.800000,5781314
BEL,2023-11-12,139.950000,140.300000,139.300000,139.600000,1362464
BEL,2023-11-13,139.150000,144.200000,139.050000,143.400000,20245049
BEL,2023-11-15,144.500000,145.400000,142.500000,143.050000,11440473
BEL,2023-11-16,143.250000,144.350000,142.200000,142.600000,11453235
BEL,2023-11-17,142.850000,146.500000,141.800000,146.100000,13496261
BEL,2023-11-20,146.400000,146.750000,143.150000,143.850000,7741502
BEL,2023-11-21,144.150000,144.550000,142.250000,142.850000,9972235
BEL,2023-11-22,143.250000,143.450000,140.150000,141.850000,7445272
BEL,2023-11-23,141.850000,142.550000,139.100000,139.350000,13138745
BEL,2023-11-24,139.950000,142.150000,137.350000,140.350000,19614754
BEL,2023-11-28,141.650000,141.800000,140.400000,141.300000,8595693
BEL,2023-11-29,142.050000,142.650000,140.500000,141.000000,14680789
BEL,2023-11-30,141.000000,146.350000,140.750000,145.900000,27591484
BEL,2023-12-01,147.950000,150.300000,146.750000,147.450000,34466616
BEL,2023-12-04,152.000000,157.500000,151.600000,153.550000,51416976
BEL,2023-12-05,153.700000,155.100000,149.950000,152.000000,29109123
BEL,2023-12-06,152.600000,157.150000,151.850000,156.150000,26688698
BEL,2023-12-07,161.800000,161.800000,158.250000,160.350000,51346222
BEL,2023-12-08,161.350000,162.350000,157.300000,158.750000,22869782
BEL,2023-12-11,159.800000,163.250000,159.150000,161.250000,22941648
BEL,2023-12-12,162.450000,162.800000,160.000000,160.800000,16306341
BEL,2023-12-13,160.200000,163.900000,159.400000,162.850000,16804086
BEL,2023-12-14,163.100000,164.350000,162.600000,164.000000,13887946
BEL,2023-12-15,166.000000,170.200000,165.250000,169.050000,39766631
BEL,2023-12-18,171.750000,174.350000,169.450000,172.700000,35901409
BEL,2023-12-19,172.900000,174.400000,171.100000,173.050000,14732129
BEL,2023-12-20,173.750000,176.300000,166.150000,167.250000,24511237
BEL,2023-12-21,165.000000,171.850000,164.050000,170.650000,22646625
BEL,2023-12-22,171.950000,175.250000,169.400000,174.800000,19640046
BEL,2023-12-26,178.000000,184.500000,178.000000,181.950000,52736391
BEL,2023-12-27,184.000000,184.900000,179.100000,180.200000,26206240
BEL,2023-12-28,181.500000,184.250000,180.800000,182.700000,20453485
BEL,2023-12-29,182.950000,185.200000,181.100000,184.200000,19305150
BEL,2024-01-01,184.800000,187.000000,184.450000,184.950000,18008785
BEL,2024-01-02,186.000000,186.200000,179.750000,182.150000,22790965
BEL,2024-01-03,182.350000,184.700000,180.600000,182.350000,18738690
BEL,2024-01-04,182.500000,187.650000,182.500000,186.900000,25403124
BEL,2024-01-05,187.700000,188.650000,184.050000,185.950000,22023938
BEL,2024-01-08,186.750000,187.500000,183.200000,183.600000,11472441
BEL,2024-01-09,184.900000,186.700000,184.200000,184.650000,11550790
BEL,2024-01-10,184.400000,186.000000,182.050000,185.600000,8701594
BEL,2024-01-11,187.000000,187.650000,183.800000,184.350000,10942508
BEL,2024-01-12,185.350000,185.500000,183.100000,183.500000,8853157
