Ticker,date,open,high,low,close,volume
WIPRO,2023-10-03,406.450000,408.100000,403.600000,405.450000,2864052
WIPRO,2023-10-04,402.700000,405.450000,400.650000,404.900000,3452935
WIPRO,2023-10-05,407.950000,410.400000,405.000000,406.800000,4062652
WIPRO,2023-10-06,408.000000,409.800000,406.950000,407.850000,3182502
WIPRO,2023-10-09,404.200000,411.000000,403.400000,405.600000,3015225
WIPRO,2023-10-10,406.400000,408.750000,406.200000,407.750000,2564007
WIPRO,2023-10-11,409.000000,423.950000,409.000000,421.150000,9546114
WIPRO,2023-10-12,421.750000,421.900000,414.700000,417.100000,5117199
WIPRO,2023-10-13,411.900000,414.400000,409.050000,411.050000,5457027
WIPRO,2023-10-16,411.000000,411.900000,408.150000,410.200000,2638826
WIPRO,2023-10-17,411.700000,413.850000,411.050000,411.400000,2989694
WIPRO,2023-10-18,409.000000,413.650000,407.000000,407.450000,2440533
WIPRO,2023-10-19,391.950000,396.750000,390.100000,395.300000,12814551
WIPRO,2023-10-20,395.050000,396.050000,391.000000,391.850000,4214668
WIPRO,2023-10-23,390.850000,393.000000,382.200000,383.150000,4418913
WIPRO,2023-10-25,384.400000,387.700000,381.100000,381.850000,3339147
WIPRO,2023-10-26,378.800000,380.550000,375.050000,378.250000,5497791
WIPRO,2023-10-27,379.050000,384.350000,379.050000,382.350000,3101406
WIPRO,2023-10-30,384.000000,384.350000,380.400000,382.000000,2344372
WIPRO,2023-10-31,383.200000,384.100000,379.150000,381.800000,3076768
WIPRO,2023-11-01,383.850000,385.550000,380.150000,380.950000,2120976
WIPRO,2023-11-02,383.800000,385.150000,382.100000,383.650000,2371365
WIPRO,2023-11-03,386.000000,386.700000,382.650000,383.550000,2645764
WIPRO,2023-11-06,386.000000,386.450000,383.000000,384.650000,2469968
WIPRO,2023-11-07,384.900000,387.000000,382.850000,383.300000,2846089
WIPRO,2023-11-08,384.600000,385.850000,381.500000,382.200000,3551026
WIPRO,2023-11-09,383.000000,384.000000,379.700000,380.850000,4615563
WIPRO,2023-11-10,380.300000,381.800000,377.000000,379.300000,5355350
WIPRO,2023-11-12,383.400000,383.400000,381.450000,382.450000,1011662
WIPRO,2023-11-13,382.600000,382.900000,380.000000,381.650000,1792951
WIPRO,2023-11-15,385.550000,392.250000,384.250000,391.650000,5396259
WIPRO,2023-11-16,391.650000,399.500000,389.300000,397.100000,6921788
WIPRO,2023-11-17,398.000000,399.000000,394.500000,395.400000,3943464
WIPRO,2023-11-20,393.200000,401.100000,393.200000,400.200000,4305248
WIPRO,2023-11-21,402.600000,402.600000,400.050000,400.650000,2720124
WIPRO,2023-11-22,402.500000,402.600000,399.100000,400.250000,2659291
WIPRO,2023-11-23,400.500000,405.000000,400.500000,402.500000,4838680
WIPRO,2023-11-24,402.500000,403.500000,395.550000,396.000000,3125283
WIPRO,2023-11-28,397.000000,398.750000,393.100000,396.850000,4072657
WIPRO,2023-11-29,398.000000,408.550000,398.000000,406.250000,7772043
WIPRO,2023-11-30,406.950000,414.500000,404.050000,413.050000,9912979
WIPRO,2023-12-01,413.750000,413.750000,406.500000,407.650000,4915213
WIPRO,2023-12-04,412.700000,413.000000,406.750000,407.450000,5331236
WIPRO,2023-12-05,407.400000,409.000000,402.100000,404.350000,5582684
WIPRO,2023-12-06,406.750000,420.400000,405.950000,418.750000,11041035
WIPRO,2023-12-07,420.000000,421.500000,416.650000,418.250000,5625276
WIPRO,2023-12-08,418.800000,424.500000,415.000000,422.600000,7739561
WIPRO,2023-12-11,420.000000,422.200000,417.250000,420.600000,5042121
WIPRO,2023-12-12,420.700000,427.900000,420.150000,422.200000,5951682
WIPRO,2023-12-13,423.550000,424.300000,415.000000,419.650000,4848408
WIPRO,2023-12-14,423.500000,436.000000,423.250000,434.400000,12340688
WIPRO,2023-12-15,436.050000,449.500000,433.500000,446.550000,20783617
WIPRO,2023-12-18,446.000000,453.500000,442.000000,445.250000,10091036
WIPRO,2023-12-19,445.600000,447.350000,435.000000,438.700000,8032347
WIPRO,2023-12-20,442.000000,449.500000,429.350000,431.950000,13224971
WIPRO,2023-12-21,428.900000,436.500000,427.200000,434.000000,5331504
WIPRO,2023-12-22,435.300000,466.300000,434.000000,462.650000,23040407
WIPRO,2023-12-26,454.000000,475.800000,448.350000,470.100000,27314322
WIPRO,2023-12-27,468.500000,475.400000,464.100000,470.950000,12631496
WIPRO,2023-12-28,472.550000,477.400000,467.650000,469.450000,8419978
WIPRO,2023-12-29,470.950000,475.350000,466.100000,471.300000,7980570
WIPRO,2024-01-01,473.000000,483.500000,468.300000,477.150000,10173639
WIPRO,2024-01-02,478.000000,478.000000,464.300000,469.200000,7141257
WIPRO,2024-01-03,463.900000,463.900000,455.000000,455.900000,9767182
WIPRO,2024-01-04,457.000000,459.850000,451.400000,452.400000,7585168
WIPRO,2024-01-05,455.050000,463.000000,453.500000,456.600000,8444565
WIPRO,2024-01-08,457.500000,460.000000,449.050000,450.350000,5041443
WIPRO,2024-01-09,458.000000,462.500000,449.950000,450.750000,7232524
WIPRO,2024-01-10,451.450000,456.000000,449.000000,453.600000,4437338
WIPRO,2024-01-11,454.950000,456.900000,446.700000,448.200000,4319409
WIPRO,2024-01-12,455.000000,469.000000,455.000000,465.450000,18043367
WIPRO,2024-01-15,511.950000,529.000000,489.150000,494.600000,63922132
WIPRO,2024-01-16,495.000000,495.000000,480.500000,485.000000,12956246
WIPRO,2024-01-17,475.150000,491.500000,472.000000,482.400000,14334466
