Ticker,close,date,high,low,month,open,volume
TITAN,3196.25,2023-10-03 05:30:00,3212.50,3114.40,2023-10,3148.80,1007308
TITAN,3166.65,2023-10-04 05:30:00,3205.00,3151.00,2023-10,3186.00,486969
TITAN,3216.50,2023-10-05 05:30:00,3231.00,3165.00,2023-10,3173.90,1109881
TITAN,3309.75,2023-10-06 05:30:00,3319.80,3221.10,2023-10,3230.00,1102120
TITAN,3267.50,2023-10-09 05:30:00,3296.00,3249.05,2023-10,3294.70,822467
TITAN,3269.20,2023-10-10 05:30:00,3299.20,3259.30,2023-10,3295.00,633934
TITAN,3280.50,2023-10-11 05:30:00,3296.00,3264.00,2023-10,3289.70,546575
TITAN,3285.00,2023-10-12 05:30:00,3295.05,3262.60,2023-10,3292.00,429096
TITAN,3283.75,2023-10-13 05:30:00,3307.00,3266.55,2023-10,3285.00,920545
TITAN,3301.40,2023-10-16 05:30:00,3329.00,3275.00,2023-10,3284.00,778014
TITAN,3308.45,2023-10-17 05:30:00,3328.45,3304.10,2023-10,3317.95,584625
TITAN,3282.75,2023-10-18 05:30:00,3324.15,3277.50,2023-10,3309.20,324535
TITAN,3284.65,2023-10-19 05:30:00,3300.95,3239.00,2023-10,3270.00,698767
TITAN,3266.20,2023-10-20 05:30:00,3291.50,3244.00,2023-10,3272.65,657550
TITAN,3219.75,2023-10-23 05:30:00,3274.95,3209.70,2023-10,3246.20,566920
TITAN,3187.85,2023-10-25 05:30:00,3236.30,3179.00,2023-10,3216.00,762466
TITAN,3100.80,2023-10-26 05:30:00,3189.90,3092.05,2023-10,3160.35,1124281
TITAN,3120.70,2023-10-27 05:30:00,3138.75,3087.25,2023-10,3095.10,1050608
TITAN,3116.45,2023-10-30 05:30:00,3121.95,3075.00,2023-10,3105.00,802316
TITAN,3189.65,2023-10-31 05:30:00,3205.80,3087.85,2023-10,3119.60,1235478
TITAN,3173.40,2023-11-01 05:30:00,3212.90,3168.35,2023-11,3193.85,756820
TITAN,3201.50,2023-11-02 05:30:00,3228.50,3180.00,2023-11,3200.00,774180
TITAN,3274.50,2023-11-03 05:30:00,3288.00,3205.05,2023-11,3205.15,1355614
TITAN,3267.05,2023-11-06 05:30:00,3310.00,3245.30,2023-11,3310.00,1137606
TITAN,3270.20,2023-11-07 05:30:00,3286.45,3250.20,2023-11,3274.00,433992
TITAN,3311.85,2023-11-08 05:30:00,3323.80,3272.20,2023-11,3289.00,632305
TITAN,3283.75,2023-11-09 05:30:00,3320.95,3274.65,2023-11,3320.95,1317398
TITAN,3256.35,2023-11-10 05:30:00,3274.95,3223.00,2023-11,3263.05,1170763
TITAN,3280.60,2023-11-12 05:30:00,3320.00,3265.00,2023-11,3300.00,204514
TITAN,3264.75,2023-11-13 05:30:00,3278.35,3250.60,2023-11,3275.00,275538
TITAN,3295.95,2023-11-15 05:30:00,3300.90,3260.75,2023-11,3275.25,747863
TITAN,3335.95,2023-11-16 05:30:00,3358.00,3259.25,2023-11,3295.40,1055389
TITAN,3338.85,2023-11-17 05:30:00,3366.00,3326.70,2023-11,3339.00,633405
TITAN,3345.85,2023-11-20 05:30:00,3353.95,3312.25,2023-11,3338.00,497379
TITAN,3394.45,2023-11-21 05:30:00,3401.75,3355.10,2023-11,3365.00,1038863
TITAN,3429.85,2023-11-22 05:30:00,3435.00,3396.05,2023-11,3400.00,980779
TITAN,3408.40,2023-11-23 05:30:00,3441.95,3396.30,2023-11,3433.90,517362
TITAN,3396.95,2023-11-24 05:30:00,3419.10,3382.55,2023-11,3406.00,589530
TITAN,3442.40,2023-11-28 05:30:00,3445.95,3397.35,2023-11,3417.95,733524
TITAN,3429.30,2023-11-29 05:30:00,3473.85,3424.00,2023-11,3473.85,819200
TITAN,3490.60,2023-11-30 05:30:00,3500.00,3422.25,2023-11,3431.10,1480088
TITAN,3489.50,2023-12-01 05:30:00,3500.00,3470.00,2023-12,3499.00,655263
TITAN,3488.40,2023-12-04 05:30:00,3550.00,3478.05,2023-12,3550.00,808838
TITAN,3545.30,2023-12-05 05:30:00,3550.00,3479.00,2023-12,3488.40,713651
TITAN,3546.90,2023-12-06 05:30:00,3573.95,3522.10,2023-12,3550.00,474140
TITAN,3585.40,2023-12-07 05:30:00,3595.00,3519.05,2023-12,3546.90,820214
TITAN,3634.65,2023-12-08 05:30:00,3646.95,3575.00,2023-12,3575.00,1562141
TITAN,3630.50,2023-12-11 05:30:00,3644.60,3598.30,2023-12,3634.55,620604
TITAN,3571.40,2023-12-12 05:30:00,3644.50,3563.25,2023-12,3637.00,1075941
TITAN,3602.35,2023-12-13 05:30:00,3609.75,3552.75,2023-12,3585.00,717618
TITAN,3591.40,2023-12-14 05:30:00,3647.00,3584.35,2023-12,3647.00,992762
TITAN,3600.55,2023-12-15 05:30:00,3615.00,3584.80,2023-12,3615.00,906271
TITAN,3619.60,2023-12-18 05:30:00,3667.20,3593.90,2023-12,3600.70,699850
TITAN,3610.45,2023-12-19 05:30:00,3627.95,3600.10,2023-12,3610.65,577926
TITAN,3554.10,2023-12-20 05:30:00,3651.50,3541.00,2023-12,3610.45,849001
TITAN,3580.00,2023-12-21 05:30:00,3598.95,3518.80,2023-12,3524.10,816722
TITAN,3627.35,2023-12-22 05:30:00,3638.45,3560.55,2023-12,3580.00,777099
TITAN,3656.70,2023-12-26 05:30:00,3665.00,3623.45,2023-12,3635.00,526101
TITAN,3689.25,2023-12-27 05:30:00,3695.00,3645.00,2023-12,3668.00,666625
TITAN,3715.10,2023-12-28 05:30:00,3737.00,3680.70,2023-12,3699.90,1033648
TITAN,3675.45,2023-12-29 05:30:00,3715.10,3660.25,2023-12,3715.10,709614
TITAN,3677.15,2024-01-01 05:30:00,3698.00,3667.50,2024-01,3689.00,286683
TITAN,3698.25,2024-01-02 05:30:00,3707.85,3642.50,2024-01,3689.00,453685
TITAN,3693.05,2024-01-03 05:30:00,3709.95,3665.00,2024-01,3708.00,356757
TITAN,3719.70,2024-01-04 05:30:00,3727.00,3686.65,2024-01,3696.00,545228
TITAN,3712.55,2024-01-05 05:30:00,3750.00,3687.25,2024-01,3719.70,963628
TITAN,3706.05,2024-01-08 05:30:00,3776.85,3695.80,2024-01,3770.00,1202148
TITAN,3694.00,2024-01-09 05:30:00,3753.95,3685.15,2024-01,3736.95,572612
TITAN,3714.45,2024-01-10 05:30:00,3730.00,3690.00,2024-01,3708.00,556311
TITAN,3698.60,2024-01-11 05:30:00,3742.70,3692.60,2024-01,3726.90,392818
TITAN,3726.00,2024-01-12 05:30:00,3734.30,3647.95,2024-01,3700.00,990582
TITAN,3758.85,2024-01-15 05:30:00,3775.00,3736.00,2024-01,3740.00,661292
TITAN,3820.30,2024-01-16 05:30:00,3858.00,3756.00,2024-01,3758.85,1170685
TITAN,3830.05,2024-01-17 05:30:00,3855.00,3800.00,2024-01,3818.95,723356
TITAN,3734.70,2024-01-18 05:30:00,3824.65,3718.85,2024-01,3791.35,1293580
TITAN,3810.60,2024-01-19 05:30:00,3861.50,3740.70,2024-01,3742.20,2566367
TITAN,3784.70,2024-01-20 05:30:00,3834.40,3780.00,2024-01,3833.95,238575
TITAN,3739.65,2024-01-23 05:30:00,3858.00,3705.75,2024-01,3786.00,1053510
TITAN,3767.85,2024-01-24 05:30:00,3780.00,3711.75,2024-01,3764.00,636988
TITAN,3770.20,2024-01-25 05:30:00,3796.95,3730.10,2024-01,3770.40,646135
TITAN,3866.65,2024-01-29 05:30:00,3875.00,3760.55,2024-01,3760.60,699215
TITAN,3735.75,2024-01-30 05:30:00,3886.95,3715.00,2024-01,3882.00,852445
TITAN,3697.55,2024-01-31 05:30:00,3775.00,3653.25,2024-01,3749.00,1386754
TITAN,3627.45,2024-02-01 05:30:00,3738.00,3601.00,2024-02,3738.00,1408462
TITAN,3612.40,2024-02-02 05:30:00,3713.45,3602.45,2024-02,3635.00,2320153
TITAN,3552.05,2024-02-05 05:30:00,3624.65,3534.90,2024-02,3612.95,1771614
TITAN,3559.15,2024-02-06 05:30:00,3577.95,3531.60,2024-02,3552.05,1069901
TITAN,3576.50,2024-02-07 05:30:00,3620.00,3555.80,2024-02,3578.00,900220
TITAN,3549.10,2024-02-08 05:30:00,3610.00,3503.00,2024-02,3604.80,1011857
TITAN,3591.60,2024-02-09 05:30:00,3597.90,3532.85,2024-02,3549.10,838509
TITAN,3585.25,2024-02-12 05:30:00,3618.60,3570.05,2024-02,3599.00,487283
TITAN,3559.95,2024-02-13 05:30:00,3608.75,3551.15,2024-02,3607.00,796060
TITAN,3585.55,2024-02-14 05:30:00,3593.85,3503.30,2024-02,3546.00,1046318
TITAN,3622.05,2024-02-15 05:30:00,3632.00,3571.00,2024-02,3595.05,759063
TITAN,3655.40,2024-02-16 05:30:00,3690.00,3624.50,2024-02,3648.00,915502
TITAN,3695.05,2024-02-19 05:30:00,3709.50,3650.00,2024-02,3671.95,528874
TITAN,3686.70,2024-02-20 05:30:00,3719.95,3665.50,2024-02,3700.00,744107
TITAN,3656.35,2024-02-21 05:30:00,3707.50,3640.00,2024-02,3652.05,660426
TITAN,3652.05,2024-02-22 05:30:00,3676.00,3555.35,2024-02,3676.00,1017437
TITAN,3691.95,2024-02-23 05:30:00,3737.00,3655.00,2024-02,3672.00,897831
TITAN,3622.50,2024-02-26 05:30:00,3690.00,3610.85,2024-02,3690.00,546842
TITAN,3653.85,2024-02-27 05:30:00,3675.00,3621.05,2024-02,3630.00,673959
TITAN,3594.70,2024-02-28 05:30:00,3669.00,3582.15,2024-02,3655.00,538608
TITAN,3624.40,2024-02-29 05:30:00,3654.00,3585.30,2024-02,3595.20,1692242
TITAN,3765.90,2024-03-01 05:30:00,3774.00,3626.00,2024-03,3630.00,1533727
TITAN,3764.10,2024-03-02 05:30:00,3778.00,3747.35,2024-03,3778.00,51206
TITAN,3732.40,2024-03-04 05:30:00,3764.10,3715.00,2024-03,3761.60,787542
TITAN,3750.75,2024-03-05 05:30:00,3759.15,3708.00,2024-03,3748.00,733660
TITAN,3810.75,2024-03-06 05:30:00,3815.00,3702.70,2024-03,3748.05,765602
TITAN,3786.90,2024-03-07 05:30:00,3824.25,3768.10,2024-03,3812.05,838514
TITAN,3750.15,2024-03-11 05:30:00,3808.00,3742.05,2024-03,3802.90,597848
TITAN,3748.80,2024-03-12 05:30:00,3766.00,3713.50,2024-03,3762.00,564569
TITAN,3625.70,2024-03-13 05:30:00,3762.00,3590.00,2024-03,3759.00,1027729
TITAN,3640.15,2024-03-14 05:30:00,3648.00,3580.15,2024-03,3629.95,1293906
TITAN,3633.20,2024-03-15 05:30:00,3655.95,3610.00,2024-03,3634.70,1207241
TITAN,3579.70,2024-03-18 05:30:00,3620.00,3565.10,2024-03,3619.00,785257
TITAN,3583.40,2024-03-19 05:30:00,3606.65,3547.05,2024-03,3579.00,554444
TITAN,3590.50,2024-03-20 05:30:00,3596.90,3550.00,2024-03,3583.40,526882
TITAN,3627.55,2024-03-21 05:30:00,3637.00,3590.05,2024-03,3606.95,767905
TITAN,3706.70,2024-03-22 05:30:00,3726.90,3621.25,2024-03,3627.55,1281102
TITAN,3698.20,2024-03-26 05:30:00,3729.95,3665.00,2024-03,3665.00,1158224
TITAN,3759.40,2024-03-27 05:30:00,3784.90,3692.80,2024-03,3699.00,1315714
TITAN,3801.80,2024-03-28 05:30:00,3838.30,3732.55,2024-03,3760.00,1590738
TITAN,3738.40,2024-04-01 05:30:00,3832.55,3730.50,2024-04,3822.95,964052
TITAN,3755.95,2024-04-02 05:30:00,3781.45,3734.10,2024-04,3754.00,677963
TITAN,3712.50,2024-04-03 05:30:00,3752.00,3705.00,2024-04,3745.10,801601
TITAN,3782.75,2024-04-04 05:30:00,3792.30,3679.00,2024-04,3740.00,1177617
TITAN,3754.45,2024-04-05 05:30:00,3801.90,3741.00,2024-04,3778.40,623873
TITAN,3748.90,2024-04-08 05:30:00,3808.30,3720.35,2024-04,3798.65,849267
TITAN,3679.35,2024-04-09 05:30:00,3761.00,3664.35,2024-04,3755.00,745285
TITAN,3711.20,2024-04-10 05:30:00,3720.35,3681.45,2024-04,3690.00,567546
TITAN,3619.30,2024-04-12 05:30:00,3694.80,3609.45,2024-04,3689.55,1910561
TITAN,3600.60,2024-04-15 05:30:00,3639.20,3590.00,2024-04,3607.00,854076
TITAN,3645.90,2024-04-16 05:30:00,3653.20,3583.00,2024-04,3589.00,1116890
TITAN,3525.10,2024-04-18 05:30:00,3660.00,3501.00,2024-04,3645.90,1677946
TITAN,3563.05,2024-04-19 05:30:00,3571.20,3478.25,2024-04,3525.10,1507940
TITAN,3596.75,2024-04-22 05:30:00,3615.00,3552.00,2024-04,3567.00,668659
TITAN,3633.00,2024-04-23 05:30:00,3648.00,3605.15,2024-04,3619.95,769991
