Ticker,date,open,high,low,close,volume
ULTRACEMCO,2023-10-03,8289.000000,8377.000000,8221.200000,8304.900000,454402
ULTRACEMCO,2023-10-04,8292.550000,8292.550000,8045.050000,8120.850000,884369
ULTRACEMCO,2023-10-05,8177.000000,8208.800000,8125.000000,8177.450000,310506
ULTRACEMCO,2023-10-06,8198.000000,8239.650000,8151.250000,8195.450000,158491
ULTRACEMCO,2023-10-09,8170.050000,8199.850000,8087.200000,8110.100000,152525
ULTRACEMCO,2023-10-10,8147.800000,8186.350000,8105.000000,8158.300000,187020
ULTRACEMCO,2023-10-11,8195.950000,8390.000000,8179.200000,8343.000000,439622
ULTRACEMCO,2023-10-12,8364.950000,8385.000000,8302.000000,8351.750000,177704
ULTRACEMCO,2023-10-13,8316.500000,8417.000000,8307.000000,8369.000000,285076
ULTRACEMCO,2023-10-16,8369.050000,8455.000000,8274.000000,8292.200000,363990
ULTRACEMCO,2023-10-17,8330.000000,8332.000000,8280.000000,8301.400000,205234
ULTRACEMCO,2023-10-18,8324.900000,8349.850000,8248.000000,8278.300000,322136
ULTRACEMCO,2023-10-19,8249.600000,8538.000000,8193.350000,8518.550000,837498
ULTRACEMCO,2023-10-20,8536.000000,8648.350000,8410.900000,8461.050000,539291
ULTRACEMCO,2023-10-23,8415.000000,8523.600000,8302.550000,8325.250000,217546
ULTRACEMCO,2023-10-25,8355.000000,8398.500000,8186.250000,8256.350000,255678
ULTRACEMCO,2023-10-26,8236.000000,8236.000000,8155.550000,8205.300000,637430
ULTRACEMCO,2023-10-27,8211.000000,8270.000000,8180.000000,8210.150000,227682
ULTRACEMCO,2023-10-30,8242.000000,8416.300000,8197.450000,8401.600000,244073
ULTRACEMCO,2023-10-31,8404.700000,8452.100000,8351.100000,8422.250000,218908
ULTRACEMCO,2023-11-01,8440.000000,8445.000000,8370.100000,8381.450000,209234
ULTRACEMCO,2023-11-02,8385.500000,8473.200000,8374.950000,8459.000000,200590
ULTRACEMCO,2023-11-03,8475.000000,8530.000000,8436.000000,8522.600000,243686
ULTRACEMCO,2023-11-06,8539.000000,8650.000000,8521.200000,8640.950000,194715
ULTRACEMCO,2023-11-07,8640.950000,8695.000000,8582.550000,8685.750000,206360
ULTRACEMCO,2023-11-08,8689.000000,8719.150000,8652.850000,8698.850000,132370
ULTRACEMCO,2023-11-09,8685.000000,8719.000000,8617.750000,8627.050000,128138
ULTRACEMCO,2023-11-10,8591.050000,8729.950000,8588.600000,8710.850000,149939
ULTRACEMCO,2023-11-12,8730.000000,8745.000000,8678.350000,8711.100000,13691
ULTRACEMCO,2023-11-13,8711.100000,8723.800000,8660.000000,8677.400000,64412
ULTRACEMCO,2023-11-15,8709.000000,8815.750000,8695.250000,8766.900000,192348
ULTRACEMCO,2023-11-16,8789.600000,8811.700000,8700.000000,8775.050000,233428
ULTRACEMCO,2023-11-17,8785.000000,8869.600000,8771.650000,8790.950000,151817
ULTRACEMCO,2023-11-20,8800.000000,8815.200000,8651.100000,8661.500000,174311
ULTRACEMCO,2023-11-21,8664.800000,8737.900000,8664.800000,8708.350000,183507
ULTRACEMCO,2023-11-22,8734.000000,8775.000000,8612.250000,8759.900000,325320
ULTRACEMCO,2023-11-23,8750.000000,8767.000000,8590.000000,8605.250000,344271
ULTRACEMCO,2023-11-24,8638.000000,8655.000000,8545.050000,8556.200000,197278
ULTRACEMCO,2023-11-28,8638.000000,8735.500000,8588.250000,8726.500000,343335
ULTRACEMCO,2023-11-29,8759.900000,8790.000000,8692.000000,8732.750000,207727
ULTRACEMCO,2023-11-30,8776.550000,9019.150000,8763.450000,9003.650000,1025481
ULTRACEMCO,2023-12-01,9103.800000,9163.400000,8972.000000,9033.850000,353015
ULTRACEMCO,2023-12-04,9150.000000,9340.800000,9086.150000,9317.750000,473570
ULTRACEMCO,2023-12-05,9321.000000,9400.000000,9243.150000,9329.750000,448461
ULTRACEMCO,2023-12-06,9329.750000,9347.950000,9129.550000,9213.000000,308912
ULTRACEMCO,2023-12-07,9266.000000,9381.000000,9236.150000,9354.550000,346830
ULTRACEMCO,2023-12-08,9378.300000,9431.650000,9341.150000,9413.550000,311761
ULTRACEMCO,2023-12-11,9414.000000,9730.000000,9400.000000,9670.900000,588082
ULTRACEMCO,2023-12-12,9702.450000,9961.150000,9635.050000,9863.500000,1060266
ULTRACEMCO,2023-12-13,9899.950000,10043.000000,9676.800000,9739.150000,1501931
ULTRACEMCO,2023-12-14,9830.000000,9990.000000,9777.000000,9963.300000,710415
ULTRACEMCO,2023-12-15,10000.000000,10059.500000,9900.650000,10029.500000,439516
ULTRACEMCO,2023-12-18,10028.000000,10028.000000,9941.750000,9970.350000,266562
ULTRACEMCO,2023-12-19,9970.350000,10050.000000,9953.000000,10017.100000,675166
ULTRACEMCO,2023-12-20,10027.000000,10128.000000,9858.150000,9887.450000,501448
ULTRACEMCO,2023-12-21,9881.000000,9985.000000,9824.850000,9954.450000,216730
ULTRACEMCO,2023-12-22,9987.000000,9999.000000,9902.000000,9969.000000,226940
ULTRACEMCO,2023-12-26,9975.000000,10054.800000,9970.100000,10018.700000,226114
ULTRACEMCO,2023-12-27,10101.000000,10470.000000,10037.800000,10436.100000,658122
ULTRACEMCO,2023-12-28,10492.000000,10499.000000,10328.100000,10426.300000,421406
ULTRACEMCO,2023-12-29,10420.000000,10526.000000,10361.500000,10503.000000,243089
ULTRACEMCO,2024-01-01,10503.000000,10520.000000,10414.600000,10464.000000,97677
ULTRACEMCO,2024-01-02,10489.900000,10489.900000,10104.100000,10204.700000,337528
ULTRACEMCO,2024-01-03,10204.800000,10245.000000,10089.600000,10111.500000,179575
ULTRACEMCO,2024-01-04,10160.000000,10164.500000,10001.000000,10014.800000,313755
ULTRACEMCO,2024-01-05,10100.000000,10100.000000,9995.000000,10016.000000,163191
ULTRACEMCO,2024-01-08,10078.000000,10080.000000,9925.050000,9934.500000,176843
ULTRACEMCO,2024-01-09,9989.600000,10017.000000,9870.200000,9899.100000,242925
ULTRACEMCO,2024-01-10,9898.950000,9906.750000,9730.000000,9776.200000,374333
ULTRACEMCO,2024-01-11,9839.900000,9944.950000,9719.150000,9920.450000,375210
ULTRACEMCO,2024-01-12,9979.950000,9979.950000,9794.050000,9808.450000,376816
ULTRACEMCO,2024-01-15,9879.000000,9996.800000,9820.000000,9954.550000,273931
ULTRACEMCO,2024-01-16,9953.950000,10046.800000,9880.350000,9969.600000,146779
ULTRACEMCO,2024-01-17,9959.000000,10046.100000,9825.000000,9854.650000,252817
ULTRACEMCO,2024-01-18,9854.000000,9933.050000,9770.000000,9892.250000,278338
ULTRACEMCO,2024-01-19,9999.000000,10128.700000,9845.000000,10093.700000,567616
ULTRACEMCO,2024-01-20,10200.000000,10200.000000,9906.000000,9997.400000,138261
ULTRACEMCO,2024-01-23,10000.000000,10085.000000,9815.000000,9831.000000,580285
ULTRACEMCO,2024-01-24,9865.000000,10032.600000,9734.600000,9990.500000,272419
ULTRACEMCO,2024-01-25,9984.600000,10048.200000,9881.200000,9969.350000,296269
ULTRACEMCO,2024-01-29,10000.100000,10300.000000,9989.500000,10274.000000,334463
ULTRACEMCO,2024-01-30,10289.800000,10320.000000,9942.000000,9963.600000,368827
ULTRACEMCO,2024-01-31,9960.000000,10186.200000,9903.150000,10167.300000,341574
ULTRACEMCO,2024-02-01,10170.000000,10233.200000,9900.050000,9922.300000,401503
ULTRACEMCO,2024-02-02,10000.000000,10165.900000,9992.300000,10098.500000,334386
ULTRACEMCO,2024-02-05,10050.000000,10128.300000,9878.450000,9916.350000,162473
ULTRACEMCO,2024-02-06,9980.000000,10075.000000,9920.300000,10048.800000,250870
ULTRACEMCO,2024-02-07,10114.000000,10287.600000,10080.300000,10226.500000,250184
ULTRACEMCO,2024-02-08,10290.000000,10295.000000,9950.500000,9997.650000,320905
ULTRACEMCO,2024-02-09,10074.800000,10074.800000,9852.000000,9945.750000,400823
ULTRACEMCO,2024-02-12,9951.000000,10017.500000,9906.900000,9963.850000,191687
ULTRACEMCO,2024-02-13,9997.800000,10004.700000,9830.600000,9852.400000,276453
ULTRACEMCO,2024-02-14,9802.050000,9824.850000,9703.950000,9787.800000,417802
ULTRACEMCO,2024-02-15,9835.900000,9839.150000,9706.000000,9814.300000,415090
ULTRACEMCO,2024-02-16,9875.050000,9948.000000,9851.100000,9916.200000,250550
ULTRACEMCO,2024-02-19,9948.950000,9948.950000,9885.000000,9902.200000,109778
ULTRACEMCO,2024-02-20,9902.200000,10000.000000,9855.000000,9978.950000,320905
ULTRACEMCO,2024-02-21,9970.250000,10115.000000,9920.000000,9968.400000,322960
ULTRACEMCO,2024-02-22,10000.000000,10020.900000,9802.300000,9961.200000,363840
ULTRACEMCO,2024-02-23,9961.200000,10028.000000,9894.050000,10000.900000,304238
ULTRACEMCO,2024-02-26,9999.050000,10049.950000,9900.950000,9930.050000,162530
ULTRACEMCO,2024-02-27,9930.050000,10151.000000,9881.450000,9951.100000,214186
ULTRACEMCO,2024-02-28,9960.000000,9989.950000,9780.900000,9804.950000,300668
ULTRACEMCO,2024-02-29,9785.000000,9935.000000,9705.650000,9892.400000,328848
ULTRACEMCO,2024-03-01,9900.000000,10183.850000,9892.400000,10135.500000,352952
ULTRACEMCO,2024-03-02,10140.000000,10155.000000,9900.000000,10106.350000,6955
ULTRACEMCO,2024-03-04,10157.000000,10166.000000,9966.200000,9978.400000,221282
ULTRACEMCO,2024-03-05,9978.400000,10030.900000,9830.000000,9838.350000,310715
ULTRACEMCO,2024-03-06,9899.900000,9914.250000,9532.000000,9641.050000,534825
ULTRACEMCO,2024-03-07,9641.050000,9715.000000,9569.100000,9673.150000,585012
ULTRACEMCO,2024-03-11,9694.050000,9824.600000,9672.900000,9697.900000,319303
ULTRACEMCO,2024-03-12,9728.950000,9728.950000,9575.400000,9615.500000,235430
ULTRACEMCO,2024-03-13,9624.700000,9653.000000,9500.000000,9593.550000,415925
ULTRACEMCO,2024-03-14,9455.000000,9708.000000,9454.000000,9696.950000,347822
ULTRACEMCO,2024-03-15,9680.000000,9750.900000,9543.800000,9632.950000,379648
ULTRACEMCO,2024-03-18,9625.000000,9673.800000,9570.000000,9611.350000,226448
ULTRACEMCO,2024-03-19,9591.350000,9607.450000,9435.150000,9453.250000,316008
ULTRACEMCO,2024-03-20,9535.000000,9535.000000,9445.000000,9484.550000,171219
ULTRACEMCO,2024-03-21,9525.000000,9639.700000,9504.900000,9600.750000,215837
ULTRACEMCO,2024-03-22,9610.000000,9751.800000,9580.000000,9681.750000,224511
ULTRACEMCO,2024-03-26,9631.100000,9689.800000,9570.000000,9600.700000,397803
ULTRACEMCO,2024-03-27,9630.000000,9708.000000,9571.050000,9623.450000,267937
ULTRACEMCO,2024-03-28,9680.000000,9853.950000,9641.550000,9749.150000,506387
ULTRACEMCO,2024-04-01,9749.150000,9997.050000,9749.150000,9954.400000,387442
ULTRACEMCO,2024-04-02,9890.100000,10084.200000,9845.000000,10038.150000,307109
ULTRACEMCO,2024-04-03,10200.000000,10277.700000,9982.150000,10001.900000,481855
ULTRACEMCO,2024-04-04,10078.000000,10078.900000,9900.000000,10005.100000,346378
ULTRACEMCO,2024-04-05,10001.000000,10019.850000,9802.200000,9823.600000,280079
ULTRACEMCO,2024-04-08,9852.950000,9899.000000,9801.000000,9863.750000,215228
ULTRACEMCO,2024-04-09,9900.000000,9993.800000,9759.100000,9769.150000,275924
ULTRACEMCO,2024-04-10,9810.000000,9858.000000,9705.050000,9817.850000,186223
ULTRACEMCO,2024-04-12,9789.950000,9850.000000,9610.000000,9652.550000,440963
ULTRACEMCO,2024-04-15,9617.900000,9617.900000,9486.600000,9506.250000,220692
